num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,googletrends,Average Gross for each movie,if_average_gross
31,The Kids Are All Right,994,1,2,1,106,09/07/2010,1,7.1,38100,1,523,8800,1
32,Kids for Cash,12,1,3,1,102,07/02/2014,1,7.1,0,0,483,,0
33,The Kids Grow Up,1,1,3,0,90,29/10/2010,1,6.8,0,0,338,,0
34,"Kiki, Love to Love",3,6,2,0,102,11/11/2016,4,6.5,0,0,0,,0
35,Kill Command,682,2,4,0,99,25/11/2016,1,5.7,0,0,1506,,0
36,Kill List,10,2,5,0,95,03/02/2012,1,6.4,0,0,1161,,0
37,Kill Me Three Times,16,1,4,1,90,10/04/2015,1,5.9,131000,1,700,,0
38,"Kill Me, Deadly",3,1,2,1,100,01/04/2016,1,7.4,0,0,0,,0
39,The Kill Team,2,1,3,1,79,25/07/2014,1,7.1,0,0,198,,0
40,Kill the Irishman,56,1,6,1,106,11/03/2011,1,7.1,51350,1,668,,0
41,Kill the Messenger,427,1,6,1,112,10/10/2014,1,7,114500,1,359,8000,1
42,Kill Your Darlings,78,1,6,1,104,16/10/2013,1,6.5,94750,1,1215,,0
43,Kill Your Friends,682,2,2,1,103,01/04/2016,1,6.1,63400,1,936,,0
44,Killer Elite,2986,2,4,1,116,23/09/2011,1,6.5,34100,1,541,25100,1
45,The Killer Inside Me,17,1,5,1,109,18/06/2010,1,6.1,36633.33333,1,1461,1000,1
46,Killer Joe,75,1,5,1,102,27/07/2012,1,6.7,37450,1,851,33000,1
47,Killers,2859,1,4,1,100,04/06/2010,1,5.4,47000,1,827,60100,1
48,Killing Kasztner,5,1,3,1,120,23/10/2009,1,7.2,0,0,0,,0
49,The Killing of a Sacred Deer,238,2,1,1,121,20/10/2017,1,7.9,32500,1,1264,,0
50,Killing Season,12,1,4,1,91,12/07/2013,1,5.4,53300,1,448,53900,1
51,Killing Them Safely,682,5,3,0,100,27/11/2015,1,6.7,0,0,447,,0
52,Killing Them Softly,2424,1,5,1,97,30/11/2012,1,6.2,64800,1,607,6400,1
53,Kills on Wheels,1,6,4,1,103,20/10/2017,26,7.4,0,0,186,,0
54,Killshot,5,1,5,1,95,23/01/2009,1,6,26466.66667,1,913,23400,1
55,Kilo Two Bravo,11,2,9,1,108,13/11/2015,1,7.1,0,0,804,,0
56,A Kind of Murder,3,1,5,1,95,16/12/2016,1,5.2,35700,1,580,,0
57,The Kind Words,8,6,1,0,118,24/06/2016,2,6.7,0,0,0,,0
58,The Kindergarten Teacher,4,6,1,0,119,31/07/2015,9,6.6,0,0,139,,0
59,King Arthur: Legend of the Sword,3702,1,4,1,126,12/05/2017,1,6.9,41800,1,619,57900,1
60,King Cobra,17,1,5,0,91,21/10/2016,1,5.6,0,0,530,,0
61,King Corn,8,1,3,0,88,12/10/2007,1,7.1,0,0,469,,0
62,King Georges,10,1,3,0,77,26/02/2016,1,6.9,0,0,501,,0
63,King of California,28,1,2,1,93,14/09/2007,1,6.7,49400,1,392,1300,1
64,King of Devil's Island,2,6,4,0,116,18/11/2011,14,7.5,0,0,0,,0
65,The King of Kong: A Fistful of Quarters,58,1,3,1,79,17/08/2007,1,8.2,0,0,0,86200,1
66,The King's Case Note,7,6,9,1,114,28/04/2017,7,6.5,0,0,0,,0
67,The King's Choice,10,6,6,1,133,22/09/2017,14,7.3,0,0,1142,,0
68,The King's Speech,2584,2,6,1,118,26/11/2010,1,8,57250,1,458,74800,1
69,The Kingdom,2836,1,4,1,110,28/09/2007,1,7.1,54233.33333,1,1137,75400,1
70,Kings of Pastry,10,6,3,1,87,15/09/2010,1,6.9,0,0,345,,0
71,The Kings of Summer,65,1,9,1,95,31/05/2013,1,7.2,0,0,1091,84700,1
72,Kings of the Evening,5,1,1,1,99,11/06/2010,1,6,0,0,100,,0
73,Kingsglaive: Final Fantasy XV,26,6,7,1,110,19/08/2016,1,6.9,39100,1,926,,0
74,Kingsman: The Golden Circle,4038,2,4,1,141,22/09/2017,1,7.2,86000,1,594,77300,1
75,Kingsman: The Secret Service,3282,2,4,1,129,13/02/2015,1,7.7,35150,1,724,77300,1
76,Kinyarwanda,9,1,1,0,100,02/12/2011,1,6.7,0,0,609,,0
77,Kismat Konnection,62,4,2,1,153,18/07/2008,3,5.2,0,0,641,,0
78,Kiss of the Damned,7,1,1,1,97,03/05/2013,1,5.6,0,0,1031,,0
79,Kiss the Bride,5,1,2,1,100,18/04/2008,1,5.8,0,0,0,,0
80,Kisses,11,6,1,1,72,16/07/2010,1,7.3,0,0,993,,0
