,Theaters,Country,Genre,Rated,Runtime,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,Total Gross
1857,-0.3104670592696946,-0.34878217496510744,-0.5842376620760895,0.37115844926801334,0.587925156677902,-0.32375513173963344,0.1392893722111929,0.5875961487170924,1.3703613295078054,-0.12700736372926066,2.272356587141346,1.441331345859505,-0.24436550454018913
1867,-0.564238113519089,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,-0.7726278047915017,-0.32375513173963344,0.5023592802790218,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,0.7507154552372303,-0.31214197289072526
1885,-0.5421710653234896,1.5149804897133048,-0.5842376620760895,0.37115844926801334,0.1603227973589465,5.226397391858297,-0.13301305883967837,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.4644797530005702,-0.30623867827447737
1894,2.644941181212384,-0.8147228411347105,0.10450588503916422,0.37115844926801334,1.0932733995093948,-0.32375513173963344,1.4100340504485924,2.3343421576247185,1.3703613295078054,2.0403055607066114,2.272356587141346,0.6689003323063685,2.970157792014493
1900,-0.5673905489756033,-0.34878217496510744,-0.5842376620760895,0.37115844926801334,0.5101792731653646,-0.32375513173963344,1.4100340504485924,0.11308640616651171,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,1.150165761311438,-0.3106879273333974
1916,-0.5532045894212894,-0.8147228411347105,-0.9286094356337163,0.37115844926801334,0.27694162262775257,-0.32375513173963344,-0.49608296690750725,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.7388010475334599,-0.31246101869238
1935,-0.5673905489756033,0.11715849120449566,-0.9286094356337163,0.37115844926801334,1.0932733995093948,-0.24558396943543723,-0.04224558182272155,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.9385262005705637,-0.3121379753453482
1962,-0.5476878273723894,-0.8147228411347105,-0.9286094356337163,0.37115844926801334,0.821162807215514,-0.32375513173963344,-0.49608296690750725,0.18971530869020797,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,0.47158150641429,-0.3105360206090703
1972,2.641000636891741,-0.8147228411347105,1.1376212057120447,0.37115844926801334,-0.6171360377664271,-0.32375513173963344,-3.7637121395179642,1.4452504038861544,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,-0.04096617547610906,1.315303992459458
1986,-0.5563570248778036,1.5149804897133048,0.7932494321544179,-2.6864802042256204,1.0155275159968575,-0.0892416448270448,0.9561966653638075,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,0.194853884736375,-0.3097290469228658
1999,-0.5602975691984463,1.5149804897133048,0.10450588503916422,0.37115844926801334,-3.9602090288055334,-0.16741280713124101,0.5931267572959786,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.31192786739164563
2000,-0.564238113519089,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,-0.3450254454725463,-0.32375513173963344,0.1392893722111929,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.31078146231693476
2007,-0.5327137589539469,-0.34878217496510744,-0.9286094356337163,0.37115844926801334,0.19919573911521518,-0.32375513173963344,0.1392893722111929,2.049439827630682,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,0.055286910324904834,-0.29920407831653045
