,num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends
3136,3136,Going Attractions: The Definitive Story of the American Drive-in Movie,4,1,3,0,85,07/06/2013,1,7.4,0.0,0,,0,
3151,3151,A Ted Named Gooby,5,5,16,1,95,17/04/2009,1,3.3,0.0,0,,0,
3157,3157,Good for Nothing,1,6,2,1,92,09/03/2012,1,6.0,0.0,0,,0,
3174,3174,Goodbye Mr. Loser,40,6,2,1,104,09/10/2015,19,6.8,0.0,0,,0,
3183,3183,Gori Tere Pyaar Mein!,112,4,2,1,150,22/11/2013,1,5.0,0.0,0,,0,
3185,3185,Gottfried Helnwein and the Dreaming Child,1,1,3,0,70,23/11/2012,1,5.0,0.0,0,,0,
3189,3189,The Beaches of Agnès,7,3,3,1,110,02/07/2009,2,8.0,0.0,0,,0,
3195,3195,The Beat Hotel,1,1,3,0,88,30/03/2012,1,6.6,0.0,0,,0,
3196,3196,The Beatles: Eight Days a Week - The Touring Years,155,1,3,0,106,15/09/2016,1,7.9,0.0,0,79000.0,1,
3198,3198,"Beats, Rhymes & Life: The Travels of a Tribe Called Quest",54,1,3,1,97,08/07/2011,1,7.7,0.0,0,,0,
3208,3208,Beauty and the Beast: A Latter-Day Tale,682,1,1,1,91,16/03/2007,1,6.3,0.0,0,,0,
3212,3212,Because Of Grácia,32,1,2,1,107,15/09/2017,1,8.7,0.0,0,,0,
3232,3232,A Beginner's Guide to Snuff,3,1,2,0,87,23/06/2017,1,5.5,0.0,0,,0,
3237,3237,Behind the White Glasses,1,6,3,1,112,21/04/2017,1,8.4,10600.0,1,,0,
3241,3241,Being Elmo: A Puppeteer's Journey,15,1,3,1,80,21/10/2011,1,7.7,0.0,0,,0,
3243,3243,Beirut,682,6,7,1,0,13/04/2018,1,6.350375411,0.0,0,,0,
3245,3245,Bel Borba Aqui,2,6,3,0,95,03/10/2012,10,6.0,0.0,0,,0,
3254,3254,Benda Bilili!,3,6,3,1,85,30/09/2011,38,7.5,0.0,0,,0,
3257,3257,Beneath the Harvest Sky,10,1,5,0,116,25/04/2014,1,6.2,19000.0,1,,0,
3266,3266,Beside Bowie: The Mick Ronson Story,2,2,3,1,102,25/08/2017,1,8.4,0.0,0,,0,
3276,3276,Best Worst Thing That Ever Could Have Happened...,7,1,3,1,95,18/11/2016,1,7.8,0.0,0,,0,
3283,3283,Better Mus' Come,2,6,4,1,104,15/03/2013,72,6.2,0.0,0,,0,
3284,3284,Better Than Something: Jay Reatard,4,1,3,0,89,02/03/2012,1,7.5,0.0,0,,0,
3287,3287,Between Love & Goodbye,2,1,1,0,97,30/01/2009,1,5.3,0.0,0,,0,
3293,3293,Beyond Sight: The Derek Rabelo Story,2,1,3,1,84,07/03/2014,1,8.8,0.0,0,,0,
3303,3303,The Upside,682,1,2,1,118,09/03/2018,1,6.8,49450.0,1,54100.0,1,
3307,3307,RV: Resurrected Victims,11,6,12,1,91,20/10/2017,7,6.350375411,0.0,0,,0,
3309,3309,The Atlanta Rhythm Section: Live,682,1,17,1,0,22/02/2019,1,6.350375411,0.0,0,,0,
3316,3316,No Pants Subway Ride 2015,682,1,11,1,2,01/05/2015,1,6.350375411,0.0,0,,0,
3319,3319,RiffTrax: Samurai Cop,705,6,4,1,92,13/04/2017,72,5.4,0.0,0,,0,
3321,3321,"Right Now, Wrong Then",2,6,1,1,121,24/06/2016,7,7.2,0.0,0,,0,
3327,3327,"Rio, I Love You",15,6,2,1,110,15/04/2016,10,5.2,64900.0,1,,0,
3331,3331,The Rise and Fall of Miss Thang,1,1,1,1,90,14/08/2008,1,6.3,0.0,0,,0,
3344,3344,Do I Sound Gay?,18,1,3,0,77,10/07/2015,1,5.5,0.0,0,,0,
3352,3352,Dog Days of Summer,1,1,1,1,88,18/04/2008,1,5.9,0.0,0,,0,
3353,3353,Dog Eat Dog,1,1,5,1,93,23/01/2009,1,4.6,36050.0,1,4300.0,1,
3355,3355,The Dog Wedding,2,1,2,1,96,11/03/2016,1,8.7,0.0,0,,0,
3367,3367,Don't Blink - Robert Frank,4,5,3,1,82,15/07/2016,1,7.0,0.0,0,,0,
