num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,Total Gross
264,Seraphine,24,1,11,1,6,05/06/2009,1,6.350375411,0,0,0,0,783,884613
265,Serena,59,6,1,1,109,27/03/2015,1,5.4,89766.66667,1,0,0,1419,176391
266,A Serious Man,262,1,2,1,106,02/10/2009,1,7,0,0,50300,1,908,9228768
267,Serious Moonlight,8,1,2,1,81,04/12/2009,1,5.4,41850,1,0,0,710,25339
268,Served Like a Girl,8,1,3,1,103,25/08/2017,1,8.4,0,0,0,0,170,8290
269,The Sessions,516,1,6,1,95,19/10/2012,1,7.2,41300,1,0,0,398,6002451
270,Set Fire to the Stars,3,2,6,0,97,12/06/2015,1,5.8,51100,1,0,0,665,4280
271,Settai,33,4,2,0,136,05/04/2013,23,4.5,0,0,0,0,1159,87838
272,Seven Days in Utopia,561,1,1,1,100,02/09/2011,1,6.1,39900,1,0,0,1004,4373074
273,The Seven Five,5,1,3,1,104,08/05/2015,1,7.6,0,0,0,0,555,48869
274,Seven Pounds,2758,1,1,1,123,19/12/2008,1,7.7,70900,1,49600,1,638,69951824
275,Seven Psychopaths,1480,2,2,1,110,12/10/2012,1,7.2,31000,1,0,0,831,15024049
276,The Seventh Fire,3,1,3,1,76,22/07/2016,1,6.2,0,0,0,0,198,30112
277,Seventh Son,2875,1,4,1,102,06/02/2015,1,5.5,42300,1,0,0,1180,17223265
278,Severed Ways: The Norse Discovery of America,1,1,9,0,107,13/03/2009,17,4.6,0,0,0,0,0,18728
279,Sex and Death 101,6,1,2,1,117,04/04/2008,1,6,0,0,0,0,792,23624
280,Sex and the City,3325,1,2,1,145,30/05/2008,1,5.5,35400,1,124000,1,1532,152647258
281,Sex and the City 2,3445,1,2,1,146,27/05/2010,1,4.4,35400,1,124000,1,1366,95347692
282,Sex Drive,2421,1,9,1,109,17/10/2008,1,6.5,27166.66667,1,58900,1,673,8402485
283,Sex Positive,1,1,3,1,75,12/06/2009,1,6.6,0,0,0,0,199,12069
284,Sex Tape,3062,1,2,1,94,18/07/2014,1,5.1,75600,1,63600,1,982,38543473
285,"Sex, Death and Bowling",3,1,2,1,92,30/10/2015,1,5.2,0,0,0,0,0,5972
286,Seymour: An Introduction,64,1,3,1,84,13/03/2015,1,7.5,17700,1,387,1,323,743541
287,The Eye,2470,1,8,1,98,01/02/2008,1,5.4,28950,1,0,0,1059,31418697
288,An Eye for Beauty,2,5,1,0,102,28/08/2015,2,5.5,0,0,0,0,320,8994
289,Eye in the Sky,1089,2,1,1,102,11/03/2016,46,7.3,0,0,0,0,741,18704595
290,The Eye of the Storm,9,6,1,0,114,07/09/2012,1,6.3,57100,1,0,0,546,83566
291,The Eyes,3,1,5,1,95,07/04/2017,1,7.9,0,0,0,0,1675,9104
292,The Eyes of My Mother,17,1,1,1,76,02/12/2016,1,6.2,0,0,0,0,1058,27099
293,Eyes Wide Open,1,6,1,0,91,05/02/2010,9,7.3,0,0,0,0,658,26258
294,Veer!,1,1,2,0,0,01/03/2013,1,7.8,0,0,0,0,0,1132
295,Veil of Tears,8,4,3,1,90,28/03/2014,1,9,0,0,0,0,681,72078
296,Vengeance: A Love Story,11,1,4,1,99,15/09/2017,1,5.2,42200,1,0,0,254,4526
297,Venus and Serena,8,1,3,1,99,10/05/2013,1,6.2,0,0,0,0,670,51271
298,Venus in Fur,45,3,1,0,96,20/06/2014,2,7.2,23100,1,11300,1,928,373605
299,Very Good Girls,9,1,1,1,91,25/07/2014,1,6,68150,1,0,0,1382,6940
300,A Very Harold & Kumar 3D Christmas,2875,1,9,1,90,04/11/2011,1,6.3,31900,1,35100,1,623,35061031
