,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Total Gross,Actorinfluenceaverage,Actorinfluencemax,googletrends,Average Gross for each movie
155,Mid-August Lunch,2008,23,Italy,Comedy,Unrated,75,2010-03-17,Italian,7.0,675299.0,0.0,0.0,0.0,
156,Middle Men,2009,252,USA,Comedy,Rated,105,2010-08-06,English,6.6,754301.0,40400.0,60300.0,1397.0,6800.0
157,Middle School: The Worst Years of My Life,2016,2822,USA,Animation,Rated,92,2016-10-07,English,6.1,20007149.0,0.0,0.0,668.0,72500.0
158,Midget Zombie Takeover,2013,3,USA,Comedy,Unrated,73,2013-02-08,English,6.2,10604.0,0.0,0.0,0.0,
159,Midnight Eagle,2007,3,Japan,Action,Rated,132,2007-11-23,Japanese,4.8,7116.0,0.0,0.0,0.0,
160,Midnight in Paris,2011,1038,Spain,Comedy,Rated,94,2011-05-20,English,7.7,56817045.0,67650.0,67700.0,682.0,13400.0
161,The Midnight Meat Train,2008,102,USA,Horror,Rated,100,2008-08-01,English,6.1,83361.0,113400.0,113400.0,558.0,
162,Midnight Special,2016,521,USA,Drama,Rated,112,2016-03-18,English,6.7,3712282.0,57100.0,57100.0,574.0,7000.0
163,Midnight's Children,2012,17,Canada,Drama,Rated,146,2013-04-26,English,6.2,190022.0,0.0,0.0,528.0,
164,Midsummer in Newtown,2016,0,USA,Documentary,Rated,81,2017-01-27,English,6.6,0.0,0.0,0.0,0.0,
165,The Midwife,2017,44,France,Drama,Unrated,117,2017-07-21,French,6.9,603582.0,0.0,0.0,1201.0,
166,Mifune: The Last Samurai,2015,9,Japan,Documentary,Unrated,80,2016-11-25,English,7.3,62279.0,0.0,0.0,346.0,
167,A Mighty Heart,2007,1355,USA,Biography,Rated,108,2007-06-22,English,6.7,9176787.0,68100.0,68100.0,619.0,1000.0
168,The Mighty Macs,2009,975,USA,Drama,Rated,99,2011-10-21,English,6.5,1891936.0,54600.0,54600.0,778.0,
