,Title,Theaters,Country,Genre,Rated,Runtime,Open,Director,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num,googletrends,Actorinfluenceave,Total Gross(Million),Movie involved,Average Gross for each movie
64,Shutter Island,3356,USA,Mystery,Rated,138,2010-02-19,Martin Scorsese,English,8.1,128012934.0,10639535233.0,,22,602.0,65466.66666666666,1027900.0,24.0,42800.0
65,Hugo,2608,USA,Adventure,Rated,126,2011-11-23,Martin Scorsese,English,7.5,73864507.0,10589599184.0,3790716290.0,28,636.0,75950.0,1027900.0,24.0,42800.0
66,Wolf Totem,5,China,Adventure,Rated,121,2015-09-11,Jean-Jacques Annaud,Mandarin,6.7,210591.0,10354970864.0,3199663674.0,47,796.0,0.0,188600.0,9.0,21000.0
67,The Wolfman,3223,USA,Drama,Rated,103,2010-02-12,Joe Johnston,English,5.8,61979680.0,10639535233.0,1834327761.0,22,1045.0,41000.0,811200.0,9.0,90100.0
68,The Wolverine,3924,USA,Action,Rated,126,2013-07-26,James Mangold,English,6.7,132556852.0,11041914748.0,2219810902.0,32,728.0,96700.0,782400.0,10.0,78200.0
69,Logan,4071,Canada,Action,Rated,137,2017-03-03,James Mangold,English,8.2,226277068.0,11216236720.0,2297451379.0,36,1397.0,84900.0,782400.0,10.0,78200.0
70,Logan,1,Canada,Action,Rated,137,2010-09-10,James Mangold,English,8.2,7137.0,10639535233.0,2041030428.0,36,1397.0,84900.0,782400.0,10.0,78200.0
71,The Woman in Black,2856,UK,Drama,Rated,95,2012-02-03,James Watkins,English,6.4,54333290.0,10187347362.0,1490190858.0,29,723.0,0.0,54400.0,3.0,18100.0
72,Won't Back Down,2517,USA,Drama,Rated,121,2012-09-28,Daniel Barnz,English,6.4,5310554.0,10187347362.0,1490190858.0,43,1084.0,56466.66666666666,35100.0,3.0,11700.0
73,Beastly,1959,USA,Drama,Rated,86,2011-03-04,Daniel Barnz,English,5.6,27865571.0,10589599184.0,1687447132.0,30,860.0,26500.0,35100.0,3.0,11700.0
74,Wonder Woman,4165,Hong Kong,Action,Rated,141,2017-06-02,Patty Jenkins,English,7.6,412563408.0,11216236720.0,2297451379.0,46,594.0,121950.0,447000.0,2.0,223500.0
75,Woodlawn,1553,USA,Drama,Rated,123,2015-10-16,Andrew Erwin,English,6.5,14394097.0,10354970864.0,1679582816.0,53,413.0,0.0,30200.0,3.0,10100.0
76,Moms' Night Out,1046,USA,Comedy,Rated,98,2014-05-09,Andrew Erwin,English,5.4,10429707.0,10893180888.0,1619719448.0,41,518.0,0.0,30200.0,3.0,10100.0
77,The Words,2801,USA,Drama,Rated,102,2012-09-07,Brian Klugman,English,7.1,11494838.0,10187347362.0,1490190858.0,43,613.0,39500.0,11500.0,1.0,11500.0
78,The World's End,1553,UK,Action,Rated,109,2013-08-23,Edgar Wright,English,7.0,26004851.0,11041914748.0,2219810902.0,44,1304.0,0.0,202500.0,5.0,40500.0
79,Hot Fuzz,1272,UK,Action,Rated,121,2007-04-20,Edgar Wright,English,7.9,23637265.0,9190502983.0,1007869230.0,17,981.0,120500.0,202500.0,5.0,40500.0
80,Scott Pilgrim vs. the World,2820,USA,Action,Rated,112,2010-08-13,Edgar Wright,English,7.5,31524275.0,10639535233.0,2041030428.0,26,900.0,50900.0,202500.0,5.0,40500.0
81,World's Greatest Dad,30,USA,Comedy,Rated,99,2009-08-21,Bobcat Goldthwait,English,6.9,221805.0,9750709587.0,2099450726.0,24,1186.0,66900.0,475.0,4.0,119.0
82,God Bless America,15,USA,Comedy,Rated,105,2012-05-11,Bobcat Goldthwait,English,7.2,122550.0,10187347362.0,1490816438.0,34,1595.0,0.0,475.0,4.0,119.0
83,Michael Clayton,2585,USA,Crime,Rated,119,2007-10-05,Tony Gilroy,English,7.3,49033882.0,9190502983.0,,31,915.0,40350.0,202800.0,3.0,67600.0
84,The Bourne Legacy,3753,USA,Action,Rated,135,2012-08-10,Tony Gilroy,English,6.7,113203870.0,10187347362.0,2117507233.0,46,777.0,114500.0,202800.0,3.0,67600.0
85,Duplicity,2579,USA,Comedy,Rated,125,2009-03-20,Tony Gilroy,English,6.2,40572825.0,9750709587.0,2099450726.0,27,383.0,37700.0,202800.0,3.0,67600.0
86,Michael Moore in TrumpLand,51,USA,Documentary,Unrated,73,2016-10-19,Michael Moore,English,5.9,149090.0,11149116327.0,65052467.0,46,126.0,149.0,191200.0,9.0,21200.0
87,Where to Invade Next,308,USA,Documentary,Rated,120,2016-02-12,Michael Moore,English,7.6,3827261.0,11149116327.0,65052467.0,26,798.0,149.0,191200.0,9.0,21200.0
88,Sicko,1117,USA,Documentary,Rated,123,2007-06-22,Michael Moore,English,8.0,24540079.0,9190502983.0,102279769.0,15,1633.0,149.0,191200.0,9.0,21200.0
89,Micmacs,52,France,Action,Rated,105,2010-05-28,Jean-Pierre Jeunet,French,7.2,1262079.0,10639535233.0,2041030428.0,29,1543.0,0.0,92500.0,7.0,13200.0
90,Microbe & Gasoline,9,France,Adventure,Rated,105,2016-07-01,Michel Gondry,French,6.7,63802.0,11149116327.0,3051739355.0,42,0.0,0.0,162400.0,12.0,13500.0
91,The Thorn in the Heart,1,France,Documentary,Rated,86,2010-04-02,Michel Gondry,French,6.3,7376.0,10639535233.0,187290939.0,30,288.0,0.0,162400.0,12.0,13500.0
92,Is the Man Who Is Tall Happy?,15,France,Documentary,Unrated,88,2013-11-22,Michel Gondry,English,7.1,137042.0,11041914748.0,131885122.0,42,198.0,0.0,162400.0,12.0,13500.0
93,Be Kind Rewind,810,UK,Comedy,Rated,102,2008-02-22,Michel Gondry,English,6.4,11175164.0,9767268194.0,1427703732.0,31,755.0,51900.0,162400.0,12.0,13500.0
94,The We and the I,7,UK,Drama,Unrated,103,2013-03-08,Michel Gondry,English,6.1,42172.0,11041914748.0,1670662348.0,41,,0.0,162400.0,12.0,13500.0
95,Mood Indigo,37,France,Comedy,Unrated,94,2014-07-18,Michel Gondry,French,6.5,303187.0,10893180888.0,1619719448.0,28,919.0,0.0,162400.0,12.0,13500.0
96,The Green Hornet,3584,USA,Action,Rated,119,2011-01-14,Michel Gondry,English,5.8,98780042.0,10589599184.0,1491832495.0,23,592.0,76733.33333333331,162400.0,12.0,13500.0
97,Middle Men,252,USA,Comedy,Rated,105,2010-08-06,George Gallo,English,6.6,754301.0,10639535233.0,1435263724.0,26,1397.0,40400.0,41000.0,6.0,6800.0
98,Middle School: The Worst Years of My Life,2822,USA,Animation,Rated,92,2016-10-07,Steve Carr,English,6.1,20007149.0,11149116327.0,,46,668.0,0.0,507400.0,7.0,72500.0
99,Are We Done Yet?,2944,Canada,Comedy,Rated,92,2007-04-04,Steve Carr,English,4.1,49662533.0,9190502983.0,1955138318.0,17,199.0,42400.0,507400.0,7.0,72500.0
100,Midnight in Paris,1038,Spain,Comedy,Rated,94,2011-05-20,Woody Allen,English,7.7,56817045.0,10589599184.0,1376087969.0,28,682.0,67650.0,591300.0,44.0,13400.0
101,Vicky Cristina Barcelona,726,Spain,Drama,Rated,96,2008-08-15,Woody Allen,English,7.1,23216709.0,9767268194.0,1293680617.0,34,1062.0,65300.0,591300.0,44.0,13400.0
102,Blue Jasmine,1283,USA,Drama,Rated,98,2013-07-26,Woody Allen,English,7.3,33405481.0,11041914748.0,1670662348.0,32,412.0,67900.0,591300.0,44.0,13400.0
103,Irrational Man,925,USA,Comedy,Rated,95,2015-07-17,Woody Allen,English,6.6,4030360.0,10354970864.0,1272411206.0,35,456.0,59750.0,591300.0,44.0,13400.0
104,Whatever Works,353,USA,Comedy,Rated,93,2009-06-19,Woody Allen,English,7.2,5306706.0,9750709587.0,2099450726.0,24,1168.0,0.0,591300.0,44.0,13400.0
105,Midnight Special,521,USA,Drama,Rated,112,2016-03-18,Jeff Nichols,English,6.7,3712282.0,11149116327.0,2060252692.0,42,574.0,57100.0,34800.0,5.0,7000.0
106,Shotgun Stories,4,USA,Drama,Rated,92,2007-12-14,Jeff Nichols,English,7.3,46026.0,9190502983.0,1566075796.0,20,0.0,0.0,34800.0,5.0,7000.0
107,Loving,572,UK,Biography,Rated,123,2016-11-04,Jeff Nichols,English,7.0,7710234.0,11149116327.0,,35,506.0,0.0,34800.0,5.0,7000.0
108,Mud,960,USA,Drama,Rated,130,2013-04-26,Jeff Nichols,English,7.4,21590086.0,11041914748.0,1670662348.0,37,545.0,41200.0,34800.0,5.0,7000.0
109,Miles Ahead,527,USA,Biography,Rated,100,2016-04-01,Don Cheadle,English,6.4,2610896.0,11149116327.0,,51,775.0,69450.0,2600.0,1.0,2600.0
110,Milk,882,USA,Biography,Rated,128,2008-11-26,Gus Van Sant,English,7.6,31841299.0,9767268194.0,,22,873.0,33450.0,287900.0,16.0,18000.0
111,The Sea of Trees,101,USA,Drama,Rated,110,2016-08-26,Gus Van Sant,English,5.9,20444.0,11149116327.0,2060252692.0,44,290.0,50700.0,287900.0,16.0,18000.0
112,Million Dollar Arm,3019,USA,Biography,Rated,124,2014-05-16,Craig Gillespie,English,7.0,36457627.0,10893180888.0,,41,767.0,70550.0,119400.0,6.0,19900.0
113,Mr. Woodcock,2237,USA,Comedy,Rated,87,2007-09-14,Craig Gillespie,English,5.1,25799486.0,9190502983.0,1955138318.0,26,572.0,26700.0,119400.0,6.0,19900.0
114,A Million Ways to Die in the West,3160,USA,Comedy,Rated,116,2014-05-30,Seth MacFarlane,English,6.1,43139300.0,10893180888.0,1619719448.0,41,1235.0,65666.66666666669,343400.0,3.0,114500.0
115,Ted,3303,USA,Comedy,Rated,106,2012-06-29,Seth MacFarlane,English,7.0,218815487.0,10187347362.0,1490816438.0,29,966.0,81266.66666666669,343400.0,3.0,114500.0
116,Ted 2,3448,USA,Comedy,Rated,115,2015-06-26,Seth MacFarlane,English,6.3,81476385.0,10354970864.0,1272411206.0,40,899.0,74066.66666666669,343400.0,3.0,114500.0
117,Miracle at St. Anna,1185,USA,Action,Rated,160,2008-09-26,Spike Lee,English,6.0,7919117.0,9767268194.0,1481747614.0,30,828.0,42000.0,379800.0,21.0,18100.0
118,Chi-Raq,305,USA,Comedy,Rated,127,2015-12-04,Spike Lee,English,5.7,2653032.0,10354970864.0,1272411206.0,34,723.0,31500.0,379800.0,21.0,18100.0
119,Red Hook Summer,41,USA,Drama,Rated,121,2012-08-10,Spike Lee,English,5.0,338803.0,10187347362.0,1490190858.0,46,768.0,0.0,379800.0,21.0,18100.0
120,Miral,29,France,Drama,Rated,112,2011-03-25,Julian Schnabel,English,6.3,373420.0,10589599184.0,1687447132.0,30,788.0,0.0,13700.0,5.0,2700.0
121,The Diving Bell and the Butterfly,213,France,Biography,Rated,112,2007-11-30,Julian Schnabel,French,8.0,6003227.0,9190502983.0,,27,529.0,23100.0,13700.0,5.0,2700.0
122,Miss Peregrine's Home for Peculiar Children,3835,UK,Adventure,Rated,127,2016-09-30,Tim Burton,English,6.7,87242834.0,11149116327.0,3051739355.0,54,1232.0,59200.0,1840200.0,18.0,102200.0
123,Frankenweenie,3005,USA,Animation,Rated,87,2012-10-05,Tim Burton,English,7.0,35291068.0,10187347362.0,,44,691.0,0.0,1840200.0,18.0,102200.0
124,Miss You Already,384,UK,Comedy,Rated,112,2015-11-06,Catherine Hardwicke,English,6.8,1162653.0,10354970864.0,1272411206.0,38,1048.0,35550.0,285100.0,7.0,40700.0
125,Twilight,3649,USA,Drama,Rated,122,2008-11-21,Catherine Hardwicke,English,5.2,192769854.0,9767268194.0,1293680617.0,22,1220.0,60700.0,285100.0,7.0,40700.0
126,Red Riding Hood,3030,USA,Fantasy,Rated,100,2011-03-11,Catherine Hardwicke,English,5.4,37662162.0,10589599184.0,,30,794.0,79666.66666666669,285100.0,7.0,40700.0
127,Plush,10,USA,Drama,Rated,99,2013-09-13,Catherine Hardwicke,English,5.4,3080.0,11041914748.0,1670662348.0,51,1167.0,34200.0,285100.0,7.0,40700.0
128,Mission: Impossible - Ghost Protocol,3555,USA,Action,Rated,132,2011-12-16,Brad Bird,English,7.4,209397903.0,10589599184.0,1491832495.0,25,0.0,91900.0,793900.0,5.0,158800.0
129,Mission: Impossible - Rogue Nation,3988,China,Action,Rated,131,2015-07-31,Christopher McQuarrie,English,7.4,195042377.0,10354970864.0,2268082751.0,35,0.0,114100.0,281200.0,3.0,93700.0
130,Mississippi Grind,46,USA,Comedy,Rated,108,2015-09-25,Anna Boden,English,6.3,130541.0,10354970864.0,1272411206.0,47,1496.0,0.0,7600.0,3.0,2500.0
131,It's Kind of a Funny Story,757,USA,Comedy,Rated,101,2010-10-08,Anna Boden,English,7.1,6363628.0,10639535233.0,1435263724.0,34,1175.0,0.0,7600.0,3.0,2500.0
132,The Mist,2423,USA,Horror,Rated,126,2007-11-21,Frank Darabont,English,7.2,25594957.0,9190502983.0,553237666.0,27,1432.0,12300.0,218500.0,4.0,54600.0
133,Mistress America,512,USA,Comedy,Rated,84,2015-08-14,Noah Baumbach,English,6.7,2500431.0,10354970864.0,1272411206.0,34,598.0,9200.0,28900.0,9.0,3200.0
134,Frances Ha,233,USA,Comedy,Rated,86,2013-05-17,Noah Baumbach,English,7.4,4069826.0,11041914748.0,1050654625.0,44,881.0,9200.0,28900.0,9.0,3200.0
135,De Palma,19,USA,Documentary,Rated,110,2016-06-10,Noah Baumbach,English,7.4,165237.0,11149116327.0,65052467.0,42,928.0,165.0,28900.0,9.0,3200.0
136,While We're Young,762,USA,Comedy,Rated,97,2015-03-27,Noah Baumbach,English,6.3,7587485.0,10354970864.0,1272411206.0,33,636.0,49750.0,28900.0,9.0,3200.0
137,Greenberg,186,USA,Comedy,Rated,107,2010-03-19,Noah Baumbach,English,6.1,4234170.0,10639535233.0,1435263724.0,26,708.0,9200.0,28900.0,9.0,3200.0
138,Season of the Witch,2827,USA,Action,Rated,95,2011-01-07,Dominic Sena,English,5.4,24827228.0,10589599184.0,1491832495.0,23,674.0,41600.0,208900.0,5.0,41800.0
139,Whiteout,2745,USA,Action,Rated,101,2009-09-11,Dominic Sena,English,5.5,10275638.0,9750709587.0,1961967999.0,32,457.0,41800.0,208900.0,5.0,41800.0
140,The Secret Life of Bees,1630,USA,Drama,Rated,114,2008-10-17,Gina Prince-Bythewood,English,7.3,37770162.0,9767268194.0,1293680617.0,37,1365.0,63650.0,79800.0,3.0,26600.0
