,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
950,Bridget Moynahan,696600.0,13.0,53600.0,"I, Robot",144800.0
951,Timothy Olyphant,696000.0,22.0,31600.0,Live Free or Die Hard,134500.0
952,Michelle Williams,693900.0,27.0,25700.0,Oz The Great and Powerful,234900.0
953,Lisa Kudrow,688400.0,21.0,32800.0,The Boss Baby,175000.0
954,Elle Fanning,685900.0,18.0,38100.0,Maleficent,241400.0
955,Kelsey Grammer,684200.0,12.0,57000.0,Transformers 4,245400.0
956,David Schwimmer,683000.0,10.0,68300.0,Madagascar 3,216400.0
957,Rebecca Romijn,680400.0,8.0,85100.0,X-Men: The Last Stand,234400.0
958,Frank Langella,679500.0,32.0,21200.0,Superman Returns,200100.0
959,Josh Hartnett,678700.0,19.0,35700.0,Pearl Harbor,198500.0
960,Rob Lowe,673000.0,24.0,28000.0,The Spy Who Shagged Me,206000.0
961,Kat Dennings,672200.0,11.0,61100.0,Thor: The Dark World,206400.0
962,Justin Timberlake,670100.0,14.0,47900.0,Trolls,153700.0
963,Imelda Staunton,669900.0,15.0,44700.0,Harry Potter / Phoenix,292000.0
964,Ben Whishaw,666800.0,13.0,51300.0,Skyfall,304400.0
965,Goldie Hawn,665400.0,18.0,37000.0,First Wives Club,105500.0
966,Andrew Garfield,663300.0,12.0,55300.0,The Amazing Spider-Man,262000.0
967,Dan Stevens,662000.0,8.0,82700.0,Beauty and the Beast,504000.0
968,Margot Robbie,661900.0,8.0,82700.0,Suicide Squad,325100.0
969,Ginnifer Goodwin,657300.0,9.0,73000.0,Zootopia,341300.0
970,Luke Wilson,656700.0,32.0,20500.0,Legally Blonde,96500.0
971,Michael K. Williams,656100.0,15.0,43700.0,The Incredible Hulk,134800.0
972,Miles Teller,651700.0,16.0,40700.0,Divergent,150900.0
973,Morris Chestnut,648400.0,15.0,43200.0,Identity Thief,134500.0
974,Maggie Smith,647600.0,22.0,29400.0,Sister Act,139600.0
975,Michael Ealy,645600.0,13.0,49700.0,Think Like a Man,91500.0
976,Charlie Day,641400.0,8.0,80200.0,The LEGO Movie,257800.0
977,Tina Fey,640800.0,11.0,58300.0,Megamind,148400.0
978,Jackie Earle Haley,639600.0,16.0,40000.0,Shutter Island,128000.0
979,Ioan Gruffudd,631300.0,15.0,42100.0,San Andreas,155200.0
980,Sarah Michelle Gellar,627400.0,13.0,48300.0,Scooby-Doo,153300.0
981,Elizabeth Debicki,624700.0,6.0,104100.0,Guardians of the Galaxy 2,389800.0
982,Jared Leto,622900.0,12.0,51900.0,Suicide Squad,325100.0
983,Felicity Jones,622700.0,14.0,44500.0,Rogue One,532200.0
984,Paula Patton,622100.0,13.0,47900.0,Mission: Impossible 4,209400.0
985,Edgar Ramirez,620300.0,11.0,56400.0,The Bourne Ultimatum,227500.0
986,Leslie Nielsen,617900.0,19.0,32500.0,Scary Movie 3,110000.0
987,Larry the Cable Guy,617000.0,7.0,88100.0,Cars,244100.0
988,Ansel Elgort,616000.0,7.0,88000.0,Divergent,150900.0
