,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
7896,The Promise,2016,213,Spain,Drama,PG-13,133,5/5/2006,Terry George,"['Oscar Isaac', ' Charlotte Le Bon', ' Christian Bale']",English,6.0,669625.0
7897,Promised Land,2012,67,USA,Drama,R,106,1/22/1988,Gus Van Sant,"['Matt Damon', ' Benjamin Sheeler', ' Terry Kinney']",English,6.6,316199.0
7898,Promises,2001,5,USA,Documentary,,106,3/15/2002,B.Z. Goldberg,"['Moishe Bar Am', ' B.Z. Goldberg', ' Shlomo Green']",English,8.5,247948.0
7899,The Promotion,2008,81,USA,Comedy,R,86,6/6/2008,Steve Conrad,"['Seann William Scott', ' Chris Conrad', ' Rick Gonzalez']",English,5.7,408709.0
7900,Proof,2005,19,USA,Drama,PG-13,100,3/20/1992,John Madden,"['Gwyneth Paltrow', ' Anthony Hopkins', ' Jake Gyllenhaal']",English,6.8,524668.0
7901,Proof,2005,517,USA,Drama,PG-13,100,9/16/2005,John Madden,"['Gwyneth Paltrow', ' Anthony Hopkins', ' Jake Gyllenhaal']",English,6.8,7535331.0
7902,Proof of Life,2000,2705,USA,Action,R,135,12/8/2000,Taylor Hackford,"['Meg Ryan', ' Russell Crowe', ' David Morse']",English,6.2,32598931.0
7905,Prophet's Prey,2015,9,USA,Documentary,,90,9/18/2015,Amy Berg,"['Nick Cave', ' Elaine Anderson', ' Sam Brower']",English,7.3,39347.0
7906,The Prophet's Son,2012,1,USA,Drama,,97,9/29/2012,Paul Anthony McLean,"['Josiah David Warren', ' Alexandra Harris', ' Paul Anthony McLean']",English,4.9,16983.0
7907,The Proposal,2009,3158,USA,Comedy,PG-13,108,6/19/2009,Anne Fletcher,"['Sandra Bullock', ' Ryan Reynolds', ' Mary Steenburgen']",English,6.7,163958031.0
7908,The Proposition,2005,200,Australia,Crime,R,104,5/5/2006,John Hillcoat,"['Richard Wilson', ' Noah Taylor', ' Jeremy Madrona']",English,7.4,1903434.0
7910,The Protagonist,2014,3,UK,Short,,15,11/30/2007,Xandy Sahla,"['Andrew Lee Potts', ' Elliot Cowan', ' Amy Beth Hayes']",English,,13850.0
7911,Protektor,2009,2,Czech Republic,Drama,,98,8/5/2011,Marek Najbrt,"['Matthias Brandt', ' Jan Budar', ' Marek Daniel']",Czech,7.2,2968.0
7913,Proteus: A Nineteenth Century Vision,2004,1,USA,Documentary,,97,8/5/2005,David Lebrun,"['Marian Seldes', ' Corey Burton', ' Richard Dysart']",English,8.0,1246.0
7915,Protocols of Zion,2005,10,USA,Documentary,R,95,10/21/2005,Marc Levin,"['Kofi Annan', ' Joanne Baron', ' Shmuley Boteach']",English,6.5,178875.0
7916,Proud American,2008,750,USA,Drama,PG,115,9/12/2008,Fred Ashman,"['Michael G. Davis', ' Cecelia Antoinette', ' Marie Antoinette']",English,1.1,131357.0
7919,The Providence Effect,2009,14,USA,Documentary,PG,92,9/25/2009,Rollin Binzer,['nan'],English,8.3,62500.0
7920,Provoked: A True Story,2006,62,UK,Crime,,113,5/11/2007,Jag Mundhra,"['Aishwarya Rai Bachchan', ' Miranda Richardson', ' Naveen Andrews']",English,6.6,761740.0
7921,The Pruitt-Igoe Myth,2011,6,USA,Documentary,Unrated,79,1/20/2012,Chad Freidrichs,"['Slyvester Brown', ' Irvin Dagen', ' Elmer Fiedler']",English,7.5,44883.0
7923,Ae Dil Hai Mushkil,2016,302,India,Drama,Unrated,158,10/28/2016,Karan Johar,"['Aishwarya Rai Bachchan', ' Ranbir Kapoor', ' Anushka Sharma']",Hindi,5.8,4264983.0
7924,Creating a World: Aeon Flux,2006,2608,USA,Short,,21,12/2/2005,nan,"['David Gale', ' Phil Hay', ' Matt Manfredi']",English,5.4,25874337.0
7925,Aferim!,2015,8,Romania,Adventure,,108,1/22/2016,Radu Jude,"['Teodor Corban', ' Mihai Comanoiu', ' Toma Cuzin']",Romanian,7.7,108110.0
7927,The Affair of the Necklace,2001,40,USA,Drama,R,118,11/30/2001,Charles Shyer,"['Hilary Swank', ' Jonathan Pryce', ' Simon Baker']",English,6.1,471210.0
7928,The Afflicted,2011,13,USA,Horror,Unrated,85,10/21/2011,Jason Stoddard,"['Leslie Easterbrook', ' Kane Hodder', ' J.D. Hart']",English,4.7,212940.0
7930,Afghan Star,2009,5,UK,Documentary,Unrated,87,6/26/2009,Havana Marking,"['Habib Amiri', ' Setara Hussainzada', ' Rafi Naabzada']",English,7.3,102115.0
7932,African Cats,2011,1224,USA,Documentary,G,89,4/22/2011,Keith Scholey,"['Samuel L. Jackson', ' Patrick Stewart', ' Mara']",English,7.6,15428747.0
7934,After,2012,1,USA,Drama,PG-13,90,9/9/2011,Ryan Smith,"['Steven Strait', ' Karolina Wydra', ' Madison Lintz']",English,5.5,24544.0
7936,After Earth,2013,3401,USA,Action,PG-13,100,5/31/2013,M. Night Shyamalan,"['Jaden Smith', ' Will Smith', ' Sophie Okonedo']",English,4.9,60522097.0
7937,After Freedom,2002,2,USA,Drama,,87,5/14/2004,Vahe Babaian,"['Mic Tomasi', ' Shaun T. Benjamin', ' Sophie Chahinian']",English,6.4,35639.0
7939,After Innocence,2005,4,USA,Documentary,Unrated,95,10/21/2005,Jessica Sanders,['nan'],English,7.8,114264.0
7941,After Love,2016,5,France,Drama,,100,8/9/2017,Joachim Lafosse,"['Bérénice Bejo', ' Cédric Kahn', ' Marthe Keller']",French,6.6,13693.0
7942,After Midnight,2004,3,Italy,Comedy,Unrated,92,12/3/2004,Davide Ferrario,"['Giorgio Pasotti', ' Francesca Inaudi', ' Fabio Troiano']",Italian,6.9,50469.0
7943,After Midnight,2004,224,Italy,Comedy,Unrated,92,11/3/1989,Davide Ferrario,"['Giorgio Pasotti', ' Francesca Inaudi', ' Fabio Troiano']",Italian,6.9,76325.0
7944,After School,2008,0,Japan,Comedy,,102,9/23/1988,Kenji Uchida,"['Yô Ôizumi', ' Masato Sakai', ' Kuranosuke Sasaki']",Japanese,6.7,3967.0
7945,After the Ball,2015,43,Canada,Comedy,Unrated,101,2/27/2015,Sean Garrity,"['Portia Doubleday', ' Marc-André Grondin', ' Chris Noth']",English,5.9,161820.0
7946,After the Cup: Sons of Sakhnin United,2009,3,USA,Documentary,,84,5/21/2010,Alexander H. Browne,"['Waji Abboud', ' Mazen Ghanayem', ' Eyal Lachman']",English,6.9,11538.0
7947,After the Storm,2016,38,Japan,Drama,Unrated,117,3/17/2017,Hirokazu Kore-eda,"['Hiroshi Abe', ' Yôko Maki', ' Satomi Kobayashi']",Japanese,7.5,272132.0
7948,After the Sunset,2004,2819,USA,Action,PG-13,97,11/12/2004,Brett Ratner,"['Pierce Brosnan', ' Salma Hayek', ' Woody Harrelson']",English,6.3,28331233.0
7950,After the Wedding,2006,55,Denmark,Drama,R,120,3/30/2007,Susanne Bier,"['Mads Mikkelsen', ' Neeral Mulchandani', ' Tanya Sharma']",Danish,7.8,1534584.0
7951,After the Wizard,2011,2,USA,Family,Unrated,80,8/10/2012,Hugh Gross,"['Jordan Van Vranken', ' Orien Richman', ' Jermel Nakia']",English,2.9,3184.0
7952,After Tiller,2013,6,USA,Documentary,PG-13,85,9/20/2013,Martha Shane,"['George Tiller', ' Warren Hern', ' Leroy Carhart']",English,7.5,72125.0
7953,After Words,2015,10,USA,Drama,TV-14,91,8/21/2015,Juan Feldman,"['Marcia Gay Harden', ' Huguette Urhausen', ' Ron Canada']",English,6.4,0.0
7954,After.Life,2009,41,USA,Drama,R,104,4/9/2010,Agnieszka Wojtowicz-Vosloo,"['Christina Ricci', ' Liam Neeson', ' Justin Long']",English,5.9,108595.0
7956,Afterimage,2016,6,Poland,Biography,,98,5/19/2017,Andrzej Wajda,"['Boguslaw Linda', ' Aleksandra Justa', ' Bronislawa Zamachowska']",Polish,7.1,33443.0
7957,The Afterlight,2009,1,USA,Drama,,87,9/10/2010,Alexei Kaleina,"['Michael Kelly', ' Jicky Schnee', ' Ana Asensio']",English,7.4,3059.0
7958,Afternoon Delight,2013,39,USA,Comedy,R,98,8/30/2013,Jill Soloway,"['Kathryn Hahn', ' Link Ruiz', ' Cesar Garcia']",English,5.8,174496.0
7960,Afterschool,2008,1,USA,Drama,Unrated,120,10/2/2009,Antonio Campos,"['Ezra Miller', ' Jeremy Allen White', ' Emory Cohen']",English,6.1,3911.0
7961,Aftershock,2012,110,USA,Action,R,89,5/10/2013,Nicolás López,"['Eli Roth', ' Andrea Osvárt', ' Ariel Levy']",Spanish,4.8,58510.0
7964,Against the Ropes,2004,1601,USA,Biography,PG-13,111,2/20/2004,Charles S. Dutton,"['Meg Ryan', ' Omar Epps', ' Charles S. Dutton']",English,5.3,5884190.0
7965,Against the Sun,2014,11,USA,Adventure,PG,100,1/23/2015,Brian Falk,"['Garret Dillahunt', ' Tom Felton', ' Jake Abel']",English,6.5,4646.0
7967,The Age of Adaline,2015,3070,USA,Drama,PG-13,112,4/24/2015,Lee Toland Krieger,"['Blake Lively', ' Michiel Huisman', ' Harrison Ford']",English,7.2,42629776.0
7969,The Age of Shadows,2016,33,South Korea,Action,Unrated,140,9/23/2016,Jee-woon Kim,"['Byung-hun Lee', ' Kang-ho Song', ' Yoo Gong']",Korean,7.2,541719.0
7970,Agent Cody Banks,2003,3369,USA,Action,PG,102,3/14/2003,Harald Zwart,"['Frankie Muniz', ' Hilary Duff', ' Angie Harmon']",English,5.1,47938330.0
7971,Agent Cody Banks 2: Destination London,2004,2973,USA,Action,PG,100,3/12/2004,Kevin Allen,"['Frankie Muniz', ' Anthony Anderson', ' Hannah Spearritt']",English,4.5,23630159.0
7972,Agent Vinod,2012,122,India,Action,Unrated,157,3/23/2012,Sriram Raghavan,"['Kareena Kapoor Khan', ' Saif Ali Khan', ' Adil Hussain']",Hindi,5.1,698210.0
7973,The Aggressives,2005,1,USA,Documentary,,75,10/7/2005,Daniel Peddle,"['Marquise Balenciaga', ' Kisha Batista']",English,6.7,6533.0
7974,Agneepath,2012,132,India,Action,Unrated,174,1/26/2012,Karan Malhotra,"['Hrithik Roshan', ' Priyanka Chopra', ' Sanjay Dutt']",Hindi,7.0,1986748.0
7975,Agnes and His Brothers,2004,1,Germany,Comedy,,115,6/9/2006,Oskar Roehler,"['Martin Weiß', ' Moritz Bleibtreu', ' Herbert Knaup']",German,6.8,2731.0
7978,Agnivarsha: The Fire and the Rain,2002,8,India,Drama,,126,8/30/2002,Arjun Sajnani,"['Jackie Shroff', ' Kumar Iyengar', ' Raveena Tandon']",Hindi,4.8,51549.0
7980,Agora,2009,17,Spain,Adventure,R,127,5/28/2010,Alejandro Amenábar,"['Rachel Weisz', ' Max Minghella', ' Oscar Isaac']",English,7.2,619423.0
7981,The Agronomist,2003,21,USA,Documentary,PG-13,90,4/23/2004,Jonathan Demme,"['Jean Dominique', ' Aboudja', ' Ronald Reagan']",English,7.5,226189.0
7985,Phantasm Remastered,2016,0,USA,Horror,,0,10/7/2016,Don Coscarelli,['nan'],English,,0.0
7987,Phantom Boy,2015,17,France,Animation,PG,84,7/15/2016,Jean-Loup Felicioli,"['Edouard Baer', ' Jean-Pierre Marielle', ' Audrey Tautou']",French,6.6,34362.0
7988,Phantom Detective,2016,15,South Korea,Action,,125,5/11/2016,Sung-hee Jo,"['Ara Go', ' Bo-ra Hwang', ' Sung-hwa Jung']",Korean,6.4,67054.0
7989,The Phantom of the Opera,2004,1515,UK,Drama,PG-13,143,12/22/2004,Joel Schumacher,"['Gerard Butler', ' Emmy Rossum', ' Patrick Wilson']",English,7.3,51268815.0
7990,Phantom of the Theatre,2016,26,China,Fantasy,Unrated,103,5/6/2016,Wai Man Yip,"['Ruby Lin', ' Tony Yo-ning Yang', ' Simon Yam']",Mandarin,5.2,43955.0
7991,Phantom Thread,2017,0,USA,Drama,R,0,12/25/2017,Paul Thomas Anderson,"['Daniel Day-Lewis', ' Vicky Krieps', ' Lesley Manville']",English,,0.0
7995,Phat Girlz,2006,1060,USA,Comedy,PG-13,99,4/7/2006,Nnegest Likké,"[""Mo'Nique"", ' Jimmy Jean-Louis', ' Godfrey']",English,3.0,7061128.0
7998,Phil Ochs: There But for Fortune,2010,13,USA,Documentary,Unrated,96,1/5/2011,Kenneth Bowser,"['Salvador Allende', ' Erik Andersen', ' Joan Baez']",English,7.6,263723.0
8002,Phillauri,2017,74,India,Comedy,,138,3/24/2017,Anshai Lal,"['Anushka Sharma', ' Diljit Dosanjh', ' Suraj Sharma']",Hindi,6.2,467596.0
8003,Philomena,2013,1225,UK,Biography,PG-13,98,11/22/2013,Stephen Frears,"['Judi Dench', ' Steve Coogan', ' Sophie Kennedy Clark']",English,7.6,37709979.0
8005,Phir Milenge,2004,27,India,Drama,,142,8/27/2004,Revathy,"['Salman Khan', ' Abhishek Bachchan', ' Shilpa Shetty']",Hindi,6.3,91968.0
8006,Phobia,2016,0,India,Drama,,112,9/26/1980,Pawan Kripalani,"['Radhika Apte', ' Amrita Bagchi', ' Nivedita Bhattacharya']",Hindi,6.9,59167.0
8007,Phoebe in Wonderland,2008,0,USA,Drama,PG-13,96,1/1/2018,Daniel Barnz,"['Felicity Huffman', ' Patricia Clarkson', ' Elle Fanning']",English,7.2,0.0
8008,Phoenix,2014,3,Germany,Drama,PG-13,98,9/4/1998,Christian Petzold,"['Nina Hoss', ' Ronald Zehrfeld', ' Nina Kunzendorf']",German,7.3,45661.0
8009,Phoenix Forgotten,2017,1626,USA,Horror,PG-13,87,4/21/2017,Justin Barber,"['Florence Hartigan', ' Luke Spencer Roberts', ' Chelsea Lopez']",English,5.2,3600146.0
8010,The Phone,2015,11,South Korea,Action,,115,11/6/2015,Kim Bong-Joo,"['Seong-woo Bae', ' Jang In-sub', ' No Jeong-ee']",Korean,6.7,40516.0
8011,Phone Booth,2002,2489,USA,Crime,R,81,4/4/2003,Joel Schumacher,"['Colin Farrell', ' Kiefer Sutherland', ' Forest Whitaker']",English,7.1,46566212.0
8012,"The Photographer, His Wife, Her Lover",2005,1,UK,Documentary,Unrated,79,7/26/2006,Paul Yule,"['Edward Hayes', ' Conchita Link', ' O. Winston Link']",English,,12546.0
8013,Photographic Memory,2011,2,USA,Documentary,Unrated,87,10/12/2012,Ross McElwee,"['Adrian McElwee', ' Ross McElwee']",English,6.9,7822.0
8014,Phyllis and Harold,2008,0,USA,Documentary,,85,4/9/2010,Cindy Kleine,['nan'],English,6.5,0.0
8017,The Pianist,2002,842,France,Biography,R,150,12/25/2002,Roman Polanski,"['Adrien Brody', ' Emilia Fox', ' Michal Zebrowski']",English,8.5,32572577.0
8019,The Piano Teacher,2001,19,Austria,Drama,R,131,3/29/2002,Michael Haneke,"['Isabelle Huppert', ' Annie Girardot', ' Benoît Magimel']",French,7.5,1012069.0
8020,The Piano Tuner of EarthQuakes,2005,3,Germany,Drama,,99,11/17/2006,Stephen Quay,"['Amira Casar', ' Gottfried John', ' Assumpta Serna']",Portuguese,6.4,29121.0
8021,Pianomania,2009,6,Austria,Documentary,Unrated,93,5/27/2011,Robert Cibis,"['Stephan Knüpfer', ' Pierre-Laurent Aimard', ' Lang Lang']",German,7.5,49852.0
8022,Piccadilly Cowboy,2007,0,UK,Romance,PG,100,8/12/2006,Tyler Ford,"['Jaelan Petrie', ' Sophie Shaw', ' Tom Butcher']",English,6.1,0.0
8024,Pickin' & Grinnin',2010,1,USA,Comedy,R,108,9/7/2012,Jon Gries,"['Johnny Dowers', ' Garret Mathany', ' David E. Lane']",English,6.3,3613.0
8028,Picture Me,2009,1,USA,Documentary,Unrated,82,9/17/2010,Ole Schell,"['Sara Ziff', ' Caitriona Balfe', ' Anne Bergstedt']",English,6.3,12008.0
8029,A Picture of You,2013,1,USA,Drama,,83,6/20/2014,J.P. Chan,"['Jo Mei', ' Andrew Pang', ' Teyonah Parris']",English,6.3,19480.0
8031,A Piece of Eden,2000,0,USA,Comedy,,106,9/15/2000,John D. Hancock,"['Marc Grapey', ' Rebecca Harrell Tickell', ' Tyne Daly']",English,7.0,7296.0
8033,Pieces of April,2003,101,USA,Comedy,PG-13,80,10/17/2003,Peter Hedges,"['Katie Holmes', ' Derek Luke', ' Oliver Platt']",English,7.1,2528664.0
8034,Pierrepoint: The Last Hangman,2005,3,UK,Biography,R,95,6/1/2007,Adrian Shergold,"['Simon Armstrong', ' Ann Bell', ' Nicholas Blane']",English,7.5,23192.0
8036,Pieta,2012,12,South Korea,Crime,Unrated,104,5/17/2013,Ki-duk Kim,"['Min-soo Jo', ' Jung-Jin Lee', ' Ki-Hong Woo']",Korean,7.2,22080.0
8037,A Pigeon Sat on a Branch Reflecting on Existence,2014,17,Sweden,Comedy,PG-13,101,6/3/2015,Roy Andersson,"['Holger Andersson', ' Nils Westblom', ' Charlotta Larsson']",Swedish,7.0,222989.0
8038,Piglet's Big Movie,2003,2084,USA,Animation,G,75,3/21/2003,Francis Glebas,"['John Fiedler', ' Jim Cummings', ' Andre Stojka']",English,6.0,23103423.0
8040,Piku,2015,124,India,Comedy,Unrated,123,5/8/2015,Shoojit Sircar,"['Amitabh Bachchan', ' Deepika Padukone', ' Irrfan Khan']",Hindi,7.6,1801807.0
8043,Pina,2011,84,Germany,Documentary,PG,103,12/23/2011,Wim Wenders,"['Regina Advento', ' Malou Airaudo', ' Ruth Amarante']",German,7.7,3524826.0
8044,Pineapple Express,2008,3072,USA,Action,R,111,8/6/2008,David Gordon Green,"['Seth Rogen', ' James Franco', ' Danny McBride']",English,7.0,87341380.0
8045,Piñero,2001,21,USA,Biography,R,103,12/13/2001,Leon Ichaso,"['Benjamin Bratt', ' Giancarlo Esposito', ' Talisa Soto']",English,6.3,275171.0
8046,Ping Pong,2012,2,UK,Documentary,Unrated,80,7/17/1987,Anson Hartford,['nan'],English,7.2,67421.0
8047,Ping Pong Playa,2007,14,USA,Comedy,PG-13,96,9/5/2008,Jessica Yu,"['Jimmy Tsai', ' Andrew Vo', ' Khary Payton']",English,6.0,77907.0
8048,Ping Pong Summer,2014,17,USA,Comedy,Unrated,92,6/6/2014,Michael Tully,"['Marcello Conte', ' Robert Hambury', ' Helena May Seabrook']",English,5.4,52909.0
8049,Pinjar,2003,22,India,Drama,,188,10/24/2003,Chandra Prakash Dwivedi,"['Urmila Matondkar', ' Manoj Bajpayee', ' Sanjay Suri']",Hindi,8.1,66290.0
8052,The Pink Panther 2,2009,3245,USA,Adventure,PG,92,2/6/2009,Harald Zwart,"['Steve Martin', ' Jean Reno', ' Emily Mortimer']",English,5.6,35922978.0
8054,"Pink Ribbons, Inc.",2011,4,Canada,Documentary,Unrated,97,6/1/2012,Léa Pool,['nan'],English,7.3,26608.0
8058,The Pinochet Case,2001,1,France,Documentary,,110,9/11/2002,Patricio Guzmán,['Salvador Allende'],English,7.3,35701.0
8059,Pioneer,2013,3,Norway,Thriller,R,111,12/5/2014,Erik Skjoldbjærg,"['Aksel Hennie', ' Wes Bentley', ' Stephen Lang']",Norwegian,6.0,6871.0
8060,Pipe Dream,2002,3,USA,Comedy,R,91,10/4/2002,John Walsh,"['Martin Donovan', ' Anthony Arkin', ' Marla Sucharetza']",English,6.1,15430.0
8062,Piranha 3D,2010,2491,USA,Comedy,R,88,8/20/2010,Alexandre Aja,"['Richard Dreyfuss', ' Ving Rhames', ' Elisabeth Shue']",English,5.5,25003155.0
8063,Piranha 3DD,2012,86,USA,Comedy,R,83,6/1/2012,John Gulager,"['Danielle Panabaker', ' Matt Bush', ' Katrina Bowden']",English,3.8,376512.0
8066,Pirate Radio,2009,883,UK,Comedy,R,117,11/13/2009,Richard Curtis,"['Michael Hadley', ' Charlie Rowe', ' Lucy Fleming']",English,7.4,8017917.0
8069,Pirates of the Caribbean: At World's End,2007,4362,USA,Action,PG-13,169,5/25/2007,Gore Verbinski,"['Johnny Depp', ' Geoffrey Rush', ' Orlando Bloom']",English,7.1,309420425.0
8070,Pirates of the Caribbean: Dead Man's Chest,2006,4133,USA,Action,PG-13,151,7/7/2006,Gore Verbinski,"['Johnny Depp', ' Orlando Bloom', ' Keira Knightley']",English,7.3,423315812.0
8071,Pirates of the Caribbean: Dead Men Tell No Tales,2017,4276,USA,Action,PG-13,129,5/26/2017,Joachim Rønning,"['Johnny Depp', ' Javier Bardem', ' Geoffrey Rush']",English,6.7,172558876.0
8072,Pirates of the Caribbean: On Stranger Tides,2011,4164,USA,Action,PG-13,136,5/20/2011,Rob Marshall,"['Johnny Depp', ' Penélope Cruz', ' Geoffrey Rush']",English,6.6,241071802.0
8073,Pirates of the Caribbean: The Curse of the Black Pearl,2003,3416,USA,Action,PG-13,143,7/9/2003,Gore Verbinski,"['Johnny Depp', ' Geoffrey Rush', ' Orlando Bloom']",English,8.0,305413918.0
8074,The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,1340,USA,Animation,G,85,1/11/2008,Mike Nawrocki,"['Phil Vischer', ' Mike Nawrocki', ' Cam Clarke']",English,5.7,12981269.0
8075,The Pirates! Band of Misfits,2012,3358,UK,Animation,PG,88,4/27/2012,Peter Lord,"['Hugh Grant', ' Martin Freeman', ' Imelda Staunton']",English,6.7,31051126.0
8076,Pitch Black,2000,1930,USA,Horror,R,109,2/18/2000,David Twohy,"['Vin Diesel', ' Radha Mitchell', ' Cole Hauser']",English,7.1,39240659.0
8077,Pitch Perfect,2012,2787,USA,Comedy,PG-13,112,9/28/2012,Jason Moore,"['Anna Kendrick', ' Skylar Astin', ' Ben Platt']",English,7.2,65001093.0
8078,Pitch Perfect 2,2015,3660,USA,Comedy,PG-13,115,5/15/2015,Elizabeth Banks,"['Anna Kendrick', ' Rebel Wilson', ' Hailee Steinfeld']",English,6.4,184296230.0
8079,Pitch Perfect 3,2017,0,USA,Comedy,PG-13,0,12/22/2017,Trish Sie,"['Hana Mae Lee', ' Anna Kendrick', ' Elizabeth Banks']",English,,0.0
8081,Pixels,2015,3723,USA,Action,PG-13,105,7/24/2015,Chris Columbus,"['Adam Sandler', ' Kevin James', ' Michelle Monaghan']",English,5.6,78747585.0
8082,Pizza,2012,1,India,Horror,,127,1/20/2006,Karthik Subbaraj,"['Vijay Sethupathi', ' Ramya Nambeeshan', ' Aadukalam Naren']",Tamil,8.0,5716.0
8084,Gladiator,2000,3188,USA,Action,R,155,5/5/2000,Ridley Scott,"['Russell Crowe', ' Joaquin Phoenix', ' Connie Nielsen']",English,8.5,187705427.0
8085,Gladiators of Rome,2012,11,Italy,Animation,PG,94,11/11/2014,Iginio Straffi,"['Daniela Abbruzzese', ' Stefano Alessandroni', ' Luca Argentero']",Italian,5.2,8201.0
8086,Alice Through the Looking Glass,2016,0,USA,Adventure,PG,113,1/18/2019,James Bobin,"['Johnny Depp', ' Mia Wasikowska', ' Helena Bonham Carter']",English,6.2,0.0
8087,The Glass Castle,2017,1461,USA,Biography,PG-13,127,8/11/2017,Destin Daniel Cretton,"['Brie Larson', ' Woody Harrelson', ' Naomi Watts']",English,7.1,17273059.0
8088,The Glass House,2001,1601,USA,Crime,PG-13,106,9/14/2001,Daniel Sackheim,"['Leelee Sobieski', ' Diane Lane', ' Stellan Skarsgård']",English,5.8,18150259.0
8091,Glass: A Portrait of Philip in Twelve Parts,2007,1,Australia,Documentary,Unrated,119,4/18/2008,Scott Hicks,"['Philip Glass', ' Holly Critchlow', ' Chuck Close']",English,7.4,20018.0
8092,Glastonbury,2006,3,USA,Documentary,R,138,2/23/2007,Julien Temple,"['Björk', ' David Bowie', ' Billy Bragg']",English,6.7,8419.0
8094,The Gleaners and I: Two Years Later,2002,4,France,Documentary,,63,3/7/2001,Agnès Varda,"['Bodan Litnanski', ' Macha Makeïeff', ' Agnès Varda']",French,7.1,155320.0
8095,Gleason,2016,148,USA,Documentary,R,110,7/29/2016,Clay Tweel,"['Steve Gleason', ' Mike Gleason', ' Scott Fujita']",English,8.4,583664.0
8096,Glee: The 3D Concert Movie,2011,2040,USA,Documentary,PG,84,8/12/2011,Kevin Tancharoen,"['Dianna Agron', ' Chris Colfer', ' Darren Criss']",English,5.4,11862398.0
8097,Glen Campbell: I'll Be Me,2014,18,USA,Documentary,PG,116,10/24/2014,James Keach,"['Glen Campbell', ' Kim Campbell', ' Ronald Petersen']",English,8.0,365422.0
8103,A Glimpse Inside the Mind of Charles Swan III,2012,18,USA,Comedy,R,86,2/8/2013,Roman Coppola,"['Charlie Sheen', ' James Paradise', ' Anne Bellamy']",English,4.8,45350.0
8104,Glitter,2001,1225,USA,Drama,PG-13,104,9/21/2001,Vondie Curtis-Hall,"['Mariah Carey', ' Max Beesley', ' Da Brat']",English,2.2,4274407.0
8106,Gloria,2013,0,Chile,Comedy,R,110,10/1/1980,Sebastián Lelio,"['Paulina García', ' Sergio Hernández', ' Diego Fontecilla']",Spanish,6.7,4059673.0
8107,Gloria,2013,1527,Chile,Comedy,R,110,1/22/1999,Sebastián Lelio,"['Paulina García', ' Sergio Hernández', ' Diego Fontecilla']",Spanish,6.7,4197729.0
8110,Glory Road,2006,2397,USA,Biography,PG,118,1/13/2006,James Gartner,"['Josh Lucas', ' Derek Luke', ' Austin Nichols']",English,7.2,42647449.0
8111,GMO OMG,2013,9,USA,Documentary,,90,9/13/2013,Jeremy Seifert,"['Michael Adam', ' Cary Fowler', ' Don Grimes']",English,6.5,47558.0
8115,Go for Sisters,2013,12,USA,Crime,Unrated,123,11/8/2013,John Sayles,"['LisaGay Hamilton', ' Edward James Olmos', ' Yolonda Ross']",English,6.4,70495.0
8116,Go for Zucker,2004,7,Germany,Comedy,Unrated,95,12/9/2005,Dani Levy,"['Henry Hübchen', ' Hannelore Elsner', ' Udo Samel']",German,6.8,87490.0
8117,Go Go Tales,2007,0,Italy,Comedy,Unrated,96,2008,Abel Ferrara,"['Willem Dafoe', ' Bob Hoskins', ' Matthew Modine']",English,5.7,0.0
8118,Go Goa Gone,2013,92,India,Action,Unrated,111,5/10/2013,Krishna D.K.,"['Saif Ali Khan', ' Kunal Khemu', ' Vir Das']",Hindi,6.7,298457.0
8119,Where Do We Go Now?,2011,3,France,Comedy,PG-13,110,5/1/1998,Nadine Labaki,"['Claude Baz Moussawbaa', ' Layla Hakim', ' Nadine Labaki']",Arabic,7.5,25695.0
8120,Go Tigers!,2001,61,USA,Documentary,R,103,9/21/2001,Kenneth A. Carlson,"['Dave Irwin', ' Ellery Moore', ' Joe Paterno']",English,7.4,151779.0
8121,The Go-Getter,2007,5,USA,Comedy,R,93,6/6/2008,Martin Hynes,"['Lou Taylor Pucci', ' Zooey Deschanel', ' M. Ward']",English,6.7,11931.0
8122,Goal! The Dream Begins,2005,1007,USA,Drama,PG-13,118,5/12/2006,Danny Cannon,"['Leonardo Guerra', ' Tony Plana', ' Miriam Colon']",English,6.7,4283255.0
8123,Goat,2016,20,USA,Drama,R,96,9/23/2016,Andrew Neel,"['Ben Schnetzer', ' Nick Jonas', ' Gus Halper']",English,5.7,23020.0
8124,Goats,2012,0,USA,Comedy,R,94,8/10/2012,Christopher Neil,"['David Duchovny', ' Vera Farmiga', ' Graham Phillips']",English,5.9,0.0
8126,God and Gays: Bridging the Gap,2006,2,USA,Documentary,Unrated,90,10/24/2008,Luane Beck,"['Luane Beck', ' Darlene Bogle', ' Peggy Campolo']",English,6.7,5095.0
8127,God Bless America,2011,15,USA,Comedy,R,105,5/11/2012,Bobcat Goldthwait,"['Joel Murray', ' Tara Lynne Barr', ' Melinda Page Hamilton']",English,7.2,122550.0
8128,God Grew Tired of Us,2006,10,USA,Documentary,PG,89,1/12/2007,Christopher Dillon Quinn,"['Panther Bior', ' John Bul Dau', ' Nicole Kidman']",English,8.0,301447.0
8129,God Help the Girl,2014,59,UK,Drama,Unrated,112,9/5/2014,Stuart Murdoch,"['Emily Browning', ' Olly Alexander', ' Hannah Murray']",English,6.4,102757.0
