,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
85,Kill Your Darlings,2013,78,USA,Biography,R,104,10/16/2013,John Krokidas,"['Daniel Radcliffe', ' Dane DeHaan', ' Michael C. Hall']",English,6.5,1030064.0
86,Kill Your Friends,2015,0,UK,Comedy,,103,4/1/2016,Owen Harris,"['Nicholas Hoult', ' James Corden', ' Georgia King']",English,6.1,0.0
87,Kill Your Idols,2004,2,USA,Documentary,,75,7/7/2006,Scott Crary,"['Ron Albertson', ' Angus Andrew', ' Tristan Bechet']",English,6.5,7753.0
88,Killer Diller,2004,32,USA,Drama,PG-13,95,4/28/2006,Tricia Brock,"['William Lee Scott', ' Lucas Black', ' Fred Willard']",English,6.9,20795.0
89,Killer Elite,2011,2986,UK,Action,R,116,9/23/2011,Gary McKendry,"['Jason Statham', ' Clive Owen', ' Robert De Niro']",English,6.5,25124966.0
90,The Killer Inside Me,2010,17,USA,Crime,R,109,6/18/2010,Michael Winterbottom,"['Casey Affleck', ' Kate Hudson', ' Jessica Alba']",English,6.1,217277.0
91,Killer Joe,2011,75,USA,Crime,R,102,7/27/2012,William Friedkin,"['Matthew McConaughey', ' Emile Hirsch', ' Juno Temple']",English,6.7,1987762.0
93,Killers,2010,2859,USA,Action,PG-13,100,6/4/2010,Robert Luketic,"['Ashton Kutcher', ' Katherine Heigl', ' Tom Selleck']",English,5.4,47059963.0
97,Killing Kasztner,2008,5,USA,Documentary,,120,10/23/2009,Gaylen Ross,['nan'],English,7.2,112313.0
98,The Killing of a Sacred Deer,2017,238,UK,Drama,R,121,10/20/2017,Yorgos Lanthimos,"['Nicole Kidman', ' Alicia Silverstone', ' Colin Farrell']",English,7.9,1083179.0
99,The Killing of John Lennon,2006,1,UK,Crime,,114,1/2/2008,Andrew Piddington,"['Jonas Ball', ' Mie Omori', ' Krisha Fairchild']",English,6.3,6975.0
