,Unnamed: 0,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
3316,5339,Nobody,2007,1,Canada,Crime,Rated,88,6/4/1999,Shawn Linden,"['Costas Mandylor', ' Darren Wall', "" Ed O'Ross""]",English,4.6,488.0
3317,5340,Nobody Else But You,2011,4,France,Comedy,Unrated,102,5/11/2012,Gérald Hustache-Mathieu,"['Jean-Paul Rouve', ' Sophie Quinton', ' Guillaume Gouix']",French,6.7,43040.0
3319,5342,Nobody Walks,2012,7,USA,Drama,Rated,83,10/19/2012,Ry Russo-Young,"['John Krasinski', ' Olivia Thirlby', ' Rosemarie DeWitt']",English,5.4,25342.0
3320,5346,Nocturama,2016,4,France,Drama,Rated,130,8/11/2017,Bertrand Bonello,"['Finnegan Oldfield', ' Vincent Rottiers', ' Hamza Meziani']",French,6.6,26291.0
3321,5347,Nocturnal Animals,2016,1262,USA,Crime,Rated,116,11/18/2016,Tom Ford,"['Amy Adams', ' Jake Gyllenhaal', ' Michael Shannon']",English,7.5,10663357.0
3323,5349,Noelle,2016,203,UK,Drama,Rated,0,12/7/2007,,['nan'],English,,257868.0
3325,5351,Noise,2007,2,USA,Comedy,Rated,92,5/9/2008,Henry Bean,"['Tim Robbins', ' Bridget Moynahan', ' William Hurt']",English,6.2,16513.0
3327,5354,Noma My Perfect Storm,2015,5,UK,Documentary,Rated,100,12/18/2015,Pierre Deschamps,['Rene Redzepi'],English,6.1,21130.0
3330,5358,Non-Stop,2014,3183,UK,Action,Rated,106,2/28/2014,Jaume Collet-Serra,"['Liam Neeson', ' Julianne Moore', ' Scoot McNairy']",English,7.0,92168600.0
3332,5360,Norbit,2007,3145,USA,Comedy,Rated,102,2/9/2007,Brian Robbins,"['Eddie Murphy', ' Thandie Newton', ' Terry Crews']",English,4.0,95673607.0
3333,5361,Norm of the North,2016,2411,USA,Animation,Rated,90,1/15/2016,Trevor Wall,"['Rob Schneider', ' Heather Graham', ' Ken Jeong']",English,3.6,17062499.0
3334,5363,Normal Adolescent Behavior,2007,0,USA,Drama,Rated,93,1/1/2018,Beth Schacter,"['Amber Tamblyn', ' Ashton Holmes', ' Kelli Garner']",English,5.4,0.0
