,Title,Theaters_x,Country_x,Genre_x,Rated_x,Runtime_x,Open_x,Language_x,imdbRating_x,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,last year_totalgross,genre_gross,count_num,Total Gross_x
82,Güeros,5,6,2,0,106,20/05/2015,4,7.5,0.0,0,,0,509.0,10354970864.0,1272411206.0,45.0,60114
83,Guest of Cindy Sherman,1,1,3,1,88,27/03/2009,1,6.5,0.0,0,,0,337.0,9750709587.0,87432868.0,27.0,27052
84,Guidance,2,5,2,0,81,21/08/2015,1,6.3,0.0,0,,0,695.0,10354970864.0,1272411206.0,34.0,4900
85,The Guillotines,10,6,4,1,112,14/06/2013,5,4.8,0.0,0,,0,1044.0,11041914748.0,2219810902.0,41.0,5290
86,The Guilt Trip,2431,1,2,1,95,19/12/2012,1,5.8,77350.0,1,75600.0,1,713.0,10187347362.0,1490816438.0,21.0,37134215
87,Gulliver's Travels,3089,1,9,1,85,25/12/2010,1,4.9,56800.0,1,120500.0,1,729.0,10639535233.0,2818706120.0,19.0,42779261
88,Gun Hill Road,10,1,1,1,86,05/08/2011,1,6.6,0.0,0,,0,867.0,10589599184.0,1687447132.0,38.0,148994
89,The Gunman,2816,1,4,1,115,20/03/2015,1,5.8,32350.0,1,45200.0,1,454.0,10354970864.0,2268082751.0,33.0,10664749
90,Gunnin' for That #1 Spot,14,1,3,1,90,27/06/2008,1,6.4,0.0,0,,0,0.0,9767268194.0,70723219.0,29.0,50804
91,Guru,76,4,6,1,166,12/01/2007,3,7.8,0.0,0,,0,1024.0,9190502983.0,,6.0,2096000
92,Gurukulam,11,5,3,1,108,03/06/2016,1,7.4,0.0,0,,0,0.0,11149116327.0,65052467.0,42.0,25651
93,Guy and Madeline on a Park Bench,5,1,1,1,82,05/11/2010,1,6.1,0.0,0,54700.0,1,196.0,10639535233.0,1834327761.0,26.0,35556
94,Guzaarish,108,4,2,1,126,19/11/2010,3,7.5,0.0,0,,0,1004.0,10639535233.0,1435263724.0,26.0,1017335
95,The Wolf of Wall Street,2557,1,6,1,180,25/12/2013,1,8.2,91233.33333,1,42800.0,1,885.0,11041914748.0,,27.0,116900694
96,Wolf Totem,5,6,9,1,121,11/09/2015,5,6.7,0.0,0,21000.0,1,796.0,10354970864.0,3199663674.0,47.0,210591
97,The Wolfman,3223,1,1,1,103,12/02/2010,1,5.8,41000.0,1,90100.0,1,1045.0,10639535233.0,1834327761.0,22.0,61979680
98,The Wolfpack,94,1,3,1,90,12/06/2015,1,7.0,0.0,0,,0,912.0,10354970864.0,88392417.0,40.0,1301696
99,The Wolverine,3924,1,4,1,126,26/07/2013,1,6.7,96700.0,1,78200.0,1,728.0,11041914748.0,2219810902.0,32.0,132556852
100,Wolves,12,3,4,1,91,14/11/2014,1,5.3,0.0,0,,0,685.0,10893180888.0,2225063194.0,25.0,12139
101,The Woman in Black,2856,2,1,1,95,03/02/2012,1,6.4,0.0,0,18100.0,1,723.0,10187347362.0,1490190858.0,29.0,54333290
