,,Unnamed: 0,Unnamed: 0.1,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num
54,54,80,106,Killshot,2008,5,USA,Crime,Rated,95,2009-01-23,John Madden,"['Thomas Jane', ' Diane Lane', ' Mickey Rourke']",English,6.0,18643.0,9750709587.0,,18
55,55,81,107,Kilo Two Bravo,2014,11,UK,Adventure,Rated,108,2015-11-13,Paul Katis,"['David Elliot', ' Mark Stanley', ' Scott Kyle']",English,7.1,7891.0,10354970864.0,3199663674.0,38
56,56,82,109,A Kind of Murder,2016,3,USA,Crime,Rated,95,2016-12-16,Andy Goddard,"['Patrick Wilson', ' Jessica Biel', ' Haley Bennett']",English,5.2,2915.0,11149116327.0,,26
57,57,83,110,The Kind Words,2015,8,Israel,Drama,Unrated,118,2016-06-24,Shemi Zarhin,"['Rotem Zissman-Cohen', ' Rassabn Abes', ' Roy Assaf']",French,6.7,135382.0,11149116327.0,2060252692.0,42
58,58,84,112,The Kindergarten Teacher,2014,4,Israel,Drama,Unrated,119,2015-07-31,Nadav Lapid,"['Sarit Larry', ' Avi Shnaidman', ' Lior Raz']",Hebrew,6.6,36190.0,10354970864.0,1679582816.0,35
59,59,87,118,King Arthur: Legend of the Sword,2017,3702,USA,Action,Rated,126,2017-05-12,Guy Ritchie,"['Charlie Hunnam', ' Astrid Bergès-Frisbey', ' Jude Law']",English,6.9,39175066.0,11216236720.0,2297451379.0,33
60,60,88,119,King Cobra,2016,17,USA,Crime,Unrated,91,2016-10-21,Justin Kelly,"['Garrett Clayton', ' Christian Slater', ' Molly Ringwald']",English,5.6,74712.0,11149116327.0,,46
61,61,89,120,King Corn,2007,8,USA,Documentary,Unrated,88,2007-10-12,Aaron Woolf,"['Bob Bledsoe', ' Earl L. Butz', ' Dawn Cheney']",English,7.1,105422.0,9190502983.0,102279769.0,31
62,62,90,122,King Georges,2015,10,USA,Documentary,Unrated,77,2016-02-26,Erika Frankel,"['Nicholas Elmi', ' Georges Perrier']",English,6.9,51663.0,11149116327.0,65052467.0,26
63,63,94,128,King of California,2007,28,USA,Comedy,Rated,93,2007-09-14,Mike Cahill,"['Michael Douglas', ' Evan Rachel Wood', ' Willis Burks II']",English,6.7,268461.0,9190502983.0,1955138318.0,26
64,64,95,130,King of Devil's Island,2010,2,Norway,Action,Unrated,116,2011-11-18,Marius Holst,"['Benjamin Helstad', ' Trond Nilssen', ' Stellan Skarsgård']",Norwegian,7.5,7615.0,10589599184.0,1491832495.0,28
65,65,96,131,The King of Kong: A Fistful of Quarters,2007,58,USA,Documentary,Rated,79,2007-08-17,Seth Gordon,"['Steve Wiebe', ' Mark Alpiger', ' Adam Wood']",English,8.2,677914.0,9190502983.0,102279769.0,26
66,66,98,141,The King's Case Note,2017,7,South Korea,Adventure,Rated,114,2017-04-28,Hyun-Sung Moon,"['Jae-hong Ahn', ' Young-nam Jang', ' Jin-mo Joo']",Korean,6.5,90959.0,11216236720.0,4686116125.0,38
67,67,99,142,The King's Choice,2016,10,Norway,Biography,Rated,133,2017-09-22,Erik Poppe,"['Jesper Christensen', ' Anders Baasmo Christiansen', ' Karl Markovics']",Norwegian,7.3,109153.0,11216236720.0,,47
68,68,101,144,The King's Speech,2010,2584,UK,Biography,Rated,118,2010-11-26,Tom Hooper,"['Colin Firth', ' Helena Bonham Carter', ' Derek Jacobi']",English,8.0,1354531430.0,10639535233.0,,26
69,69,102,145,The Kingdom,2007,2836,USA,Action,Rated,110,2007-09-28,Peter Berg,"['Jamie Foxx', ' Chris Cooper', ' Jennifer Garner']",English,7.1,47536778.0,9190502983.0,1007869230.0,26
70,70,105,150,Kings of Pastry,2009,10,Netherlands,Documentary,Rated,87,2010-09-15,Chris Hegedus,"['Jacquy Pfeiffer', ' Regis Lazard', ' Philippe Rigollot']",English,6.9,336386.0,10639535233.0,187290939.0,36
71,71,106,151,The Kings of Summer,2013,65,USA,Adventure,Rated,95,2013-05-31,Jordan Vogt-Roberts,"['Nick Robinson', ' Gabriel Basso', ' Moises Arias']",English,7.2,1315590.0,11041914748.0,3299119819.0,44
72,72,107,152,Kings of the Evening,2008,5,USA,Drama,Rated,99,2010-06-11,Andrew P. Jones,"['Tyson Beckford', ' Lynn Whitfield', ' Glynn Turman']",English,6.0,99270.0,10639535233.0,1834327761.0,29
